recno,Name,RAJ2000,DEJ2000,LengthMpc,e_LengthMpc,LengthAng,z,e_z,Ref,FistDisc
6675,ILTJ134654.22+321906.2,206.7271313,32.31802439207,0.7021,0.08991,1.5454,0.756,0.057,ML (this work),ML (this work)
223,ILTJ134748.00+325827.0,206.9500652,32.97331389864,0.82121,0.10695,1.8155,0.747,0.06,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
2092,ILTJ135048.24+331218.8,207.7016775,33.20515587356,0.84041,0.08742,1.6213,1.361,0.407,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
6082,ILTJ134502.17+331355.1,206.260115,33.23299561544,1.3788,0.15816,2.8694,0.899,0.045,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1084,ILTJ134415.24+331700.5,206.0656379,33.28864727476,1.36806,0.13687,3.1252,0.68629,7e-05,RGZ (Hardcastle et al. 2023),Mahato et al. 2021
785,ILTJ134751.47+331755.0,206.965166,33.3005637984,1.58078,0.21559,3.3134,0.877,0.114,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7200,ILTJ134647.94+335611.3,206.7075725,33.94195403986,0.83438,0.08349,1.8744,0.71595,0.0001,ML (this work),ML (this work)
4887,ILTJ135449.73+332424.0,208.70846064195,33.40975100379,0.94307,0.09441,5.2478,0.17026,2e-05,RGZ (Hardcastle et al. 2023),Oei et al. 2023
4159,ILTJ135307.21+333626.9,208.280881,33.60706085118,0.76777,0.10719,2.0077,0.513,0.037,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3511,ILTJ135306.42+340335.2,208.27828,34.05907614201,1.06388,0.13552,2.2553,0.845,0.074,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
10558,,208.510624,33.85165,0.831,0.027,4.6,0.17108,3e-05,Oei et al. 2023,Oei et al. 2023
2587,ILTJ135511.43+343534.6,208.79729400501,34.59224399152,1.04342,0.1651,2.4013,0.674,0.097,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
6093,ILTJ135119.01+340922.8,207.830324,34.14564070361,3.26338,0.39994,6.6625,0.966,0.09,RGZ (Hardcastle et al. 2023),Oei et al. 2023
