RA,DEC
175.798621,53.846101
212.573944,49.784976
175.17446,55.035858
237.361655,54.880437
171.372096,53.985315
211.187794,49.944516
173.29225,54.242859
175.17446,55.035858
175.6735,53.623456
210.957518,49.885414
211.829116,49.929329
237.493697,56.002677
237.474929,55.855923
237.220084,55.985732
212.935149,51.172466
211.190072,50.977557
234.461333,55.479329
171.995061,54.903887
172.046283,55.010184
175.096361,55.592852
236.637789,54.514558
171.820859,55.289918
173.610909,55.156302
211.935379,49.290827
237.338837,55.622346
174.723956,55.0577
173.064471,55.139434
212.083465,48.732668
238.768196,54.966853
174.862412,54.620838
211.861294,49.123155
174.152992,54.387742
211.85456,50.109577
238.136078,55.673109
173.669911,54.406724
236.400376,53.881104
175.306799,54.664275
211.985014,50.993884
173.084723,55.966524
175.6967,54.013331
236.393793,54.351475
236.79569,53.868634
235.672382,54.379674
174.251823,54.347439
175.348932,54.495859
171.365221,55.572811
175.309871,55.627906
236.142704,54.914841
211.787422,49.612584
172.209186,55.245586
212.454036,48.811409
174.219021,53.448919
173.224895,55.036419
212.958573,49.472213
173.560675,55.372712
174.787511,55.66144
236.119754,55.664509
211.565148,50.550254
175.110745,55.656087
174.069174,55.360387
211.187782,49.944802
237.647537,55.085472
211.789252,48.512836
238.314681,55.276835
172.867192,54.09198
175.61607,53.945679
238.22591,56.126876
237.225087,55.033995
172.942514,55.340327
238.552047,54.637563
174.836692,54.463825
173.762562,54.659968
173.872344,54.477729
171.961996,55.819355
172.228254,54.455134
238.055432,54.375573
173.210557,54.095493
175.691323,54.012471
211.09746,49.601109
172.425153,54.424494
184.710368,47.243214
206.603575,46.106093
214.065343,54.423907
173.78861,49.073904
212.994366,55.087816
218.68146,49.841116
217.120956,45.945436
190.47328,48.635327
341.458891,26.567396
341.038705,25.275623
342.737253,26.139391
341.491966,26.458761
341.25937,26.573328
340.733225,25.233197
340.240201,26.052375
341.824997,25.248542
343.09114,25.099202
340.332674,25.94702
341.530312,24.685898
340.734142,24.652359
340.587516,26.22378
341.51743,24.771591
355.639518,24.819257
356.161887,25.99457
356.073524,26.162265
355.096625,25.582746
356.052941,24.418113
355.132523,25.105708
356.486003,26.525355
355.32404,26.282327
357.383827,26.221783
356.412333,26.56203
341.685922,25.863262
355.385442,25.79887
341.176536,24.512881
357.370766,25.20947
354.681374,25.756972
342.704194,26.190608
357.378925,25.52065
340.587516,26.22378
355.859792,25.769815
356.942354,25.496755
340.852586,26.471251
342.744366,26.139391
340.578947,25.275773
342.926594,25.395082
340.466695,25.788367
356.114408,26.488893
341.280768,26.443396
355.352421,26.209916
341.294253,26.563375
341.739251,26.545897
354.831562,25.542089
356.661419,25.082124
355.043509,27.154168
356.937883,26.129624
355.018471,27.147609
352.775536,26.978528
356.522181,25.165407
356.09865,26.496387
355.96975,25.850523
355.206548,27.280097
342.860758,27.215537
357.22388,26.837108
343.804924,28.294206
343.083262,29.141619
358.625279,27.199715
341.600153,28.939866
344.32583,28.018374
358.352516,26.111833
341.461751,24.28735
18.700621,27.527131
340.891994,26.8232
341.515574,29.161936
340.240201,26.052375
343.682682,28.613255
342.129585,25.918091
351.798595,26.012457
357.910684,25.111414
343.456114,28.895827
352.874852,25.224988
342.270438,27.269465
340.346274,25.189547
342.994624,29.446347
342.183,27.583516
357.758775,25.334863
357.898278,25.138433
345.866372,28.51691
343.329789,28.522838
353.684586,25.070166
346.295556,28.565671
358.620326,24.83032
352.337494,27.083115
343.002826,27.700569
358.044868,25.672954
341.348416,27.989641
355.489312,24.620556
357.09785,25.655694
351.839293,25.713652
342.930521,27.38407
346.295556,28.565671
357.878752,25.381163
356.443111,25.758016
359.64322,25.558466
18.661297,25.107443
356.070754,24.716157
354.317413,26.202279
19.090802,26.799602
18.227881,27.11021
18.360064,27.015966
342.280396,24.735033
353.432261,24.503741
19.399057,26.185777
354.997817,25.741581
341.305391,26.197286
354.263405,25.337847
356.499253,25.41803
342.770814,25.967095
354.937734,26.306137
343.48983,28.344205
343.516991,27.82736
341.067028,28.621028
341.380006,26.397303
343.614204,27.428911
352.480604,26.802785
359.812405,25.938568
358.225076,25.193151
358.173025,25.109722
0.176978,26.017488
358.267248,24.948311
344.490353,27.964269
342.819333,29.34994
20.002019,25.634287
18.565302,27.262796
19.072444,26.813779
352.98028,25.75096
341.19606,25.272876
352.238032,24.869464
352.313023,26.379186
341.644006,29.271463
358.385305,25.567636
342.689051,28.737541
342.876915,25.365264
342.764511,26.302119
19.501154,27.310898
20.289238,26.749715
353.224428,24.902248
352.228227,26.448353
355.018471,27.147609
345.94764,28.541646
19.562616,27.27933
355.256625,26.026782
358.879864,26.387776
340.937181,27.542185
358.661302,25.880707
20.08011,25.626008
354.394234,26.546172
353.244339,24.910722
346.29174,29.272489
355.990431,26.536212
18.011529,25.715241
341.948668,26.247961
357.09785,25.655694
343.083749,27.488383
354.68192,25.939172
343.150511,28.666261
17.73381,26.35334
341.026041,27.731157
345.379247,27.851972
18.562344,25.349112
343.083262,29.141619
19.015775,26.492249
19.198297,27.279096
359.347085,25.51989
19.26702,27.0911
18.974929,26.01912
356.875962,25.222881
342.61996,26.797494
20.208359,25.635684
358.605516,26.242044
341.038705,25.275623
357.905251,25.125391
351.825842,26.521037
354.082785,25.024555
341.197277,29.223647
358.19333,26.836579
357.783758,25.955877
345.02791,27.093773
345.960609,28.068778
359.66929,25.747023
355.265827,26.051184
341.205725,26.834705
342.529957,29.353999
359.370546,25.509368
353.958014,25.005841
353.60708,25.107527
352.685045,26.843623
18.876384,26.611492
345.70912,29.479907
358.267248,24.948311
343.670998,29.574422
352.480604,26.802785
359.490699,25.949613
342.274166,26.589935
341.543651,25.694075
357.567748,26.394666
17.704911,25.342672
18.393775,26.95503
344.720168,29.077862
342.4691,27.444222
344.13131,28.484637
351.760608,25.178884
20.167759,27.012701
342.435676,24.804955
340.249783,25.101477
345.351462,29.310677
342.783715,27.965137
345.442627,29.059726
346.169789,27.715199
342.027029,28.293583
352.913122,25.944881
354.932117,27.112003
