radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
ILTJ005008.20+293557.0,,12.533836,29.598936,0.736,0.066,0.858,0.054,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005012.80+260654.3,,12.551949,26.115105,0.592,0.02,1.043,0.044,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005016.03+173733.8,,12.573319,17.628312,0.976,0.085,1.259,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005025.89+144040.9,12.607894,14.678042,0.23635,3e-05,0.836,0.023,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005032.87+184142.9,,12.635308,18.696947,1.039,0.156,0.885,0.059,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005034.81+273735.6,,12.645064,27.626741,0.518,0.056,0.724,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005038.99+301507.1,,12.662979,30.253438,1.595,0.386,1.246,0.065,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J005040.77+103601.1,12.669896,10.600318,0.03927,,0.883,0.083,Oei et al. 2022,2022-10-24,Oei et al. in prep.
,J005048.73-023417.0,12.703042,-2.571417,1.43124,,1.217,0.053,Mahato et al. 2021,2021-11-22,Mahato et al. 2021
ILTJ005051.01+233342.9,,12.710437,23.559436,0.57924,0.00022,0.711,0.041,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005052.08+131533.0,12.717025,13.259171,0.3211,0.0224,1.847,0.091,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005058.90+303346.1,,12.747624,30.562812,1.23,0.336,0.849,0.079,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005105.81+141112.7,12.774239,14.186862,0.3667,0.0259,1.668,0.08,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005116.19+322115.5,,12.817876,32.353104,0.5,0.043,1.958,0.098,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005116.48+233813.2,,12.819108,23.634895,1.51,0.01,0.823,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005125.22+324921.6,12.855114,32.822677,0.3367,0.044,1.574,0.139,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005134.54+283404.5,J005128.20+283401.5,12.867535,28.567093,0.65776,0.00013,1.722,0.043,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ005137.90+275446.5,,12.907406,27.91287,1.048,0.133,0.81,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005148.88+323915.4,12.95369,32.654302,0.45944,7e-05,1.838,0.036,Oei et al. 2022,2022-10-24,Oei et al. 2022
,J005149.64+174251.8,12.956837,17.714404,0.16828,2e-05,1.425,0.018,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005154.12+171503.8,,12.99078,17.259838,0.587,0.054,1.432,0.075,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005208.48+290051.5,,13.033699,29.011614,0.913,0.218,1.257,0.116,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005213.32+222132.2,,13.05562,22.359494,0.946,0.366,0.759,0.14,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005213.79+295222.2,,13.062342,29.869667,0.84,0.224,0.734,0.092,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005222.62+240707.0,,13.093515,24.119008,0.751,0.082,1.038,0.063,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005224.75+322620.4,,13.10048,32.437576,0.35,0.072,0.875,0.123,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005227.14+273215.9,13.113099,27.537768,0.26157,5e-05,1.051,0.025,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005229.90+205932.2,,13.125779,20.992483,1.337,0.113,0.821,0.052,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005234.97+202300.8,,13.146875,20.383842,2.44807,0.00018,0.742,0.05,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005236.46+331804.7,,13.152612,33.301916,1.447,0.356,0.807,0.062,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005237.86+181115.0,,13.156784,18.18746,0.632,0.063,0.805,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,13.177,-42.6461,0.87,,1.137,0.19,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
,,13.1866,-42.1058,0.92,,1.031,0.195,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ005247.06+222514.0,,13.195868,22.420458,1.015,0.09,0.841,0.052,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J005303.26+355729.1,13.263598,35.958102,0.1734,0.0089,0.985,0.045,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005308.55+310816.4,,13.285214,31.137456,1.64,0.01,1.569,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005309.88+245956.7,,13.29069,24.99931,0.851,0.066,1.114,0.054,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005317.70+173143.0,,13.322446,17.522965,0.2839,4e-05,0.741,0.026,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J005327.25+295051.9,13.363567,29.847776,0.1181,0.013,1.455,0.136,Oei et al. 2022,2022-10-24,Oei et al. in prep.
,J005331.71+403125.9,13.382143,40.523867,0.149,0.01,1.32,0.076,Oei et al. 2022,2022-10-24,Oei et al. in prep.
,J005336.97+010538.1,13.404059,1.093928,0.39406,0.0001,1.549,0.033,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005338.75+281625.5,,13.406279,28.274557,1.056,0.156,0.699,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005341.75+301610.8,,13.422361,30.269642,1.334,0.384,1.301,0.106,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005351.11+220147.6,,13.462579,22.029326,1.032,0.373,0.752,0.12,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005352.40+172719.1,,13.468743,17.455473,0.40662,0.00011,0.779,0.033,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005406.09+323544.1,,13.52405,32.595386,0.645,0.059,0.728,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005409.30+195938.4,,13.534029,19.992551,0.56812,0.00016,0.724,0.04,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005423.79+260351.0,,13.601239,26.063781,1.159,0.01,0.793,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,13.6751,-48.4269,0.8,,1.177,0.189,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ005444.35+260322.1,,13.684416,26.055584,1.029,0.234,0.83,0.074,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J005445.10+415311.4,13.687925,41.886526,0.2907,0.0282,0.862,0.064,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005450.70+235306.3,,13.70694,23.884766,0.762,0.067,0.795,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,13.7436,-49.8739,0.47,,3.521,0.243,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
,J005503.20+402408.7,13.763341,40.402444,0.1444,0.0066,0.706,0.031,Oei et al. 2022,2022-10-24,Oei et al. in prep.
,,13.80115,71.41612,0.10992,,1.192,0.106,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ005519.36+245650.8,,13.830551,24.950108,0.26067,3e-05,0.77,0.025,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005541.32+274644.2,,13.923326,27.781645,0.875,0.072,0.946,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,13.953292,-22.52125,0.11437,,0.803,0.071,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ005550.53+194018.0,,13.960968,19.673789,0.804,0.092,1.678,0.082,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005553.73+251233.9,13.973885,25.209418,0.18,0.0075,0.715,0.03,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005554.70+253645.4,,13.977996,25.613652,0.935,0.11,0.784,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005559.51+315902.4,,13.994899,31.983871,0.762,0.066,1.214,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005600.38+225606.8,J005600.14+225609.9,14.000601,22.936104,0.8647,0.0735,2.038,0.071,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ005559.26+285919.7,,14.001722,28.988466,0.392,0.042,1.519,0.108,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J005609.58+344020.7,14.03995,34.672431,1.28565,,1.593,0.054,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ005613.81+254231.1,,14.052998,25.710448,0.521,0.071,0.771,0.068,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005618.24+212813.4,,14.077984,21.470317,0.879,0.089,1.037,0.058,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J005658.93+335612.2,14.245574,33.936726,0.18527,3e-05,1.425,0.019,Oei et al. 2022,2022-10-24,Oei et al. 2022
,J005748.88+302108.6,14.453673,30.352415,0.01648,,1.219,0.122,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
ILTJ005809.54+290711.0,,14.540455,29.120103,0.511,0.053,1.176,0.075,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005811.93+183930.3,,14.550609,18.658656,0.564,0.045,0.847,0.052,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005845.70+284904.1,,14.688689,28.816232,0.89331,0.00066,0.959,0.048,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ005900.53+220749.4,,14.75303,22.131153,1.044,0.11,0.73,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005904.53+231049.6,,14.766664,23.180342,1.009,0.069,0.76,0.051,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ005957.68+321208.6,,14.990407,32.20179,0.942,0.258,0.776,0.091,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010030.46+302819.4,,15.12394,30.475266,1.055,0.216,0.812,0.066,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010036.71+271246.9,,15.15375,27.213744,0.455,0.034,0.719,0.047,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J010052.60+061641.0,15.219167,6.278058,0.111,0.007,0.722,0.042,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
,J010054.67+191006.9,15.227795,19.168593,0.27633,4e-05,2.187,0.026,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ010113.46+322247.4,,15.306135,32.37884,1.053,0.25,1.039,0.086,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010114.69+183059.7,,15.309795,18.516543,0.65835,0.00033,0.788,0.043,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010126.98+292817.4,,15.362181,29.471596,0.577,0.027,0.949,0.046,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010132.58+215913.0,,15.385402,21.987152,0.916,0.201,0.83,0.077,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,,15.385597,39.042728,0.1041,,2.729,0.238,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ010134.08+312219.6,J010133.61+312204.1,15.390059,31.367806,0.21923,3e-05,1.603,0.022,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
,J010149.96-025231.7,15.458189,-2.87548,0.0706,,0.753,0.069,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ010158.89+222102.3,,15.494454,22.349832,0.863,0.118,0.749,0.058,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010214.05+301432.1,,15.555986,30.242115,0.818,0.113,0.719,0.058,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010218.14+221256.9,,15.574979,22.21522,1.166,0.282,0.902,0.074,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010225.23+212633.2,,15.604082,21.44422,0.39516,8e-05,0.746,0.033,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J010237.34+042100.2,15.655583,4.350072,0.292,0.0467,1.131,0.131,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ010241.99+211220.3,,15.679475,21.209239,0.987,0.065,1.274,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010257.13+263912.8,,15.737894,26.653771,1.203,0.118,0.713,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,15.7548,-43.4082,0.874,,1.332,0.195,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
,J010319.02+263032.9,15.82926,26.509152,0.16349,4e-05,0.922,0.017,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ010324.20+313220.6,,15.851588,31.536624,1.189,0.01,0.929,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010327.72+261542.0,,15.866402,26.262872,0.57275,0.00013,0.885,0.041,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010329.93+303539.3,,15.87488,30.589549,0.56438,3e-05,1.088,0.04,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J010340.05+423935.6,15.916886,42.659898,0.1353,0.0072,1.293,0.061,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
ILTJ010346.49+211741.6,,15.945469,21.293789,0.62597,0.00042,0.762,0.042,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010354.28+191608.8,,15.9747,19.26529,0.597,0.208,0.749,0.154,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010358.23+320645.5,J010356.32+320607.8,15.984707,32.102177,0.1255,0.0129,1.015,0.091,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
ILTJ010412.00+172242.5,,16.045318,17.376997,1.011,0.099,0.963,0.054,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010411.28+295720.7,,16.055792,29.956286,0.494,0.064,1.339,0.101,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010419.58+193344.3,,16.081075,19.562188,0.901,0.123,1.271,0.071,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010421.08+220400.8,,16.087408,22.066397,1.025,0.155,0.705,0.056,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010424.71+262910.9,,16.093926,26.480335,0.24623,4e-05,0.738,0.024,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010430.73+243221.1,,16.129531,24.543502,0.923,0.123,1.539,0.077,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010445.22+304149.6,,16.188204,30.69794,0.617,0.035,0.886,0.048,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010456.05+311058.7,,16.236466,31.182809,1.506,0.01,0.766,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,16.236681,40.082443,0.08655,,1.648,0.149,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ010507.21+195014.1,,16.281349,19.837113,1.118,0.302,1.043,0.098,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,,16.3425,-45.0881,0.69,,1.248,0.183,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ010541.96+245216.4,,16.424882,24.87023,1.01,0.075,0.761,0.051,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010544.78+301802.4,,16.434069,30.298606,0.89,0.069,0.947,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J010547.27+010058.7,16.447,1.016333,0.95895,,0.721,0.053,Mahato et al. 2021,2021-11-22,Mahato et al. 2021
ILTJ010551.99+181500.5,,16.460384,18.255547,1.026,0.169,1.89,0.094,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,16.5371,-46.0387,0.478,,1.244,0.162,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ010603.55+292740.5,,16.540381,29.446018,0.48751,0.00014,0.902,0.037,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010610.79+245115.1,,16.545265,24.85368,0.759,0.071,0.762,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010611.42+190948.9,,16.547212,19.168186,0.645,0.056,1.051,0.058,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010612.64+315249.4,,16.552207,31.879715,1.265,0.15,1.004,0.054,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010616.75+314224.2,,16.586378,31.71218,0.533,0.057,1.537,0.093,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J010621.94+350329.7,16.591451,35.058277,0.12637,1e-05,1.626,0.014,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ010628.65+292347.3,,16.619388,29.396454,1.402,0.01,0.96,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010628.58+222836.6,,16.620443,22.476293,0.664,0.055,0.905,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010642.07+224625.1,J010643.34+224644.1,16.680619,22.778919,0.5792,0.00015,1.991,0.041,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ010711.66+282927.6,,16.796758,28.491326,1.459,0.01,1.01,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010718.42+223519.5,,16.824866,22.591387,1.081,0.1,0.946,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J010722.82+024656.1,16.845084,2.782259,0.19574,5e-05,1.487,0.02,Oei et al. 2022,2022-10-24,Oei et al. 2022
,,16.853912,32.412556,0.01701,,1.181,0.117,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
ILTJ010731.99+213955.1,,16.883299,21.665405,1.058,0.14,0.904,0.057,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010750.95+191059.1,,16.959561,19.18345,0.628,0.01,0.754,0.043,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010757.12+254728.3,,16.987497,25.791122,1.13,0.296,0.825,0.078,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010803.03+270006.5,J010803.52+270001.9,17.014667,27.000553,0.327,0.0553,1.161,0.136,Dabhade et al. 2020 / prior,2020-08-05,Mostert & Oei et al. 2024
,,17.0196,-48.7175,0.503,,1.585,0.173,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ010809.79+183646.8,,17.038777,18.609174,1.091,0.1,0.912,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,,17.069374,40.080597,0.10486,,0.952,0.084,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ010822.01+271100.5,,17.08827,27.17994,1.573,0.01,1.037,0.052,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010827.78+303923.4,,17.1163,30.651859,0.59767,0.00022,0.924,0.041,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010842.03+221454.0,,17.172567,22.253069,0.291,0.02,1.397,0.073,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010852.32+222417.3,,17.218904,22.404733,0.753,0.05,0.87,0.05,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010906.41+282542.7,,17.276441,28.426522,1.301,0.114,0.83,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010923.08+295137.4,,17.340095,29.869631,0.41231,0.0001,1.558,0.034,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010921.79+200758.7,,17.340725,20.133616,1.136,0.131,0.803,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010932.60+222516.5,,17.38664,22.423285,1.17,0.144,0.994,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ010936.28+252351.7,J010936.45+252403.7,17.401875,25.401044,0.709,0.08,1.678,0.086,Dabhade et al. 2020 / prior,2020-08-05,Mostert & Oei et al. 2024
,,17.434417,73.199214,0.181,,0.755,0.063,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ010945.30+294133.1,,17.436045,29.690919,1.09,0.094,0.92,0.052,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ010952.08+305652.6,,17.467167,30.942826,1.896,0.307,0.818,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011000.06+281656.8,,17.500005,28.28146,0.657,0.077,0.822,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011000.28+213909.1,,17.500697,21.654259,0.634,0.066,0.751,0.055,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011000.94+225329.9,,17.506509,22.886263,1.452,0.262,1.135,0.056,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011009.62+271706.6,,17.540897,27.283045,1.015,0.094,0.707,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011031.10+165330.6,,17.626618,16.891258,0.61535,0.00017,0.727,0.042,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011042.59+290454.3,,17.677146,29.080904,0.65,0.076,0.707,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011103.28+205832.9,,17.763528,20.977403,0.716,0.083,0.713,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,17.769583,-14.375722,0.10406,,0.798,0.072,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ011107.08+233253.2,,17.776741,23.54169,0.977,0.083,0.97,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011117.83+200401.9,,17.824457,20.067797,1.143,0.01,0.747,0.051,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011124.25+274031.3,,17.839392,27.686276,0.991,0.172,1.293,0.079,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011136.52+203214.2,,17.908048,20.534914,0.611,0.039,1.044,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011141.59+243213.1,,17.923809,24.537352,0.865,0.072,0.797,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011142.14+322551.0,,17.925542,32.432431,0.697,0.101,1.138,0.08,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011151.82+304743.6,,17.967239,30.795223,0.634,0.043,0.926,0.05,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011157.01+343355.8,,17.986613,34.566116,0.39936,7e-05,0.787,0.034,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,,18.009167,49.476389,0.0677,,1.005,0.093,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
ILTJ011211.12+253959.4,J011210.52+253937.2,18.043867,25.660354,0.24748,4e-05,1.682,0.024,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ011222.02+225617.7,,18.091992,22.939251,1.003,0.153,0.725,0.057,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,18.093083,-28.274056,0.65312,,1.043,0.062,Mahato et al. 2021,2021-11-22,Mahato et al. 2021
ILTJ011230.89+194633.0,,18.130917,19.775453,0.51371,7e-05,1.175,0.038,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011231.57+295607.1,,18.132764,29.936092,1.777,1.164,1.188,0.372,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011235.99+305349.1,,18.150035,30.897954,0.964,0.085,0.933,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011238.45+282820.4,,18.160331,28.47275,1.15,0.16,1.085,0.058,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J011243.33+200546.7,18.180543,20.096332,0.4339,0.0266,1.602,0.067,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ011257.85+321551.9,,18.239924,32.26554,1.387,0.355,0.935,0.069,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ011303.57+245743.7,,18.258791,24.98142,0.47048,0.00016,1.22,0.036,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011305.83+222304.3,J011304.54+222240.0,18.268949,22.377803,0.2355,0.0158,1.505,0.079,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ011308.93+275805.0,,18.288915,27.973337,0.993,0.099,0.712,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011317.67+242155.7,,18.322617,24.365914,0.307,0.071,0.917,0.152,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011329.28+195933.0,,18.37415,19.9927,0.735,0.222,1.067,0.158,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011329.42+274629.8,,18.374404,27.77333,1.023,0.198,1.127,0.075,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ011332.08+265809.8,,18.382367,26.970183,0.766,0.214,2.271,0.281,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J011341.11+010608.5,18.421292,1.102367,0.2809,1e-05,1.122,0.026,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
,J011343.14+022217.2,18.429761,2.371468,0.04703,,0.931,0.088,Oei et al. 2022,2022-10-24,Oei et al. in prep.
ILTJ011344.98+253524.8,J011343.82+253516.0,18.432584,25.587793,0.25115,3e-05,1.361,0.024,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
