radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
ILTJ000458.25+281113.7,,1.238987,28.192978,0.722,0.087,2.183,0.113,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000502.13+275207.2,J000502.69+275200.6,1.26123,27.866836,0.8644,0.0404,2.041,0.055,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ000508.80+303900.4,,1.286366,30.652021,1.741,0.522,0.77,0.067,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000524.39+262053.8,,1.351389,26.351984,0.49203,0.0001,0.74,0.038,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000523.57+262304.3,,1.354337,26.386011,0.789,0.048,1.045,0.051,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000523.97+243009.1,J000525.33+243006.4,1.355561,24.501789,0.38744,7e-05,1.468,0.033,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ000540.72+195022.5,,1.419749,19.83929,0.684,0.068,1.658,0.081,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000546.55+282306.0,,1.444592,28.386402,0.834,0.089,0.702,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000554.80+171501.8,,1.476912,17.250391,0.5126,0.00018,0.761,0.038,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000602.01+263639.3,,1.514339,26.608018,1.2,0.01,2.265,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000609.78+240233.6,,1.539457,24.039337,0.802,0.071,3.237,0.111,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000617.63+171242.4,,1.57347,17.211475,1.012,0.168,0.76,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000624.41+263545.7,J000623.24+263544.6,1.596833,26.595739,0.436,0.1882,1.619,0.47,Dabhade et al. 2020 / prior,2020-08-05,Mostert & Oei et al. 2024
ILTJ000625.67+212822.1,,1.607026,21.472013,0.759,0.114,1.093,0.078,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000629.05+324602.5,,1.623899,32.766689,0.826,0.063,0.762,0.051,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000717.73+190510.9,,1.826507,19.083634,1.107,0.167,1.082,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000803.83+225550.4,J000804.29+225543.0,2.017915,22.928615,0.71636,,1.642,0.079,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
,J000824.04+252245.3,2.100204,25.379267,0.24176,3e-05,1.063,0.023,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ000841.99+325102.1,,2.174134,32.851215,0.985,0.763,0.736,0.313,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000926.55+285349.6,,2.353682,28.896043,0.864,0.22,1.576,0.16,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000936.66+312643.5,,2.3999,31.443654,1.055,0.155,1.111,0.063,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000951.19+334043.1,,2.464661,33.677495,0.53401,7e-05,0.714,0.039,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001003.63+215710.7,,2.51487,21.952949,1.216,0.136,0.79,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001021.51+341530.2,,2.588217,34.257863,1.096,0.156,1.502,0.068,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001025.52+332942.4,,2.606785,33.49356,0.74227,8e-05,0.762,0.045,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001028.78+310518.7,,2.61306,31.089326,1.064,0.186,1.345,0.076,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001031.84+200420.1,,2.632847,20.072462,1.052,0.104,1.041,0.054,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001032.94+190541.1,,2.63777,19.096225,0.991,0.116,1.304,0.062,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001033.91+172418.7,,2.641628,17.405211,1.601,0.01,1.278,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001035.83+313620.6,,2.645155,31.610564,0.807,0.227,0.922,0.119,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001049.70-110813.0,2.707083,-11.136944,0.07725,2e-05,1.021,0.009,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ001051.64+260312.7,,2.71539,26.052714,1.232,0.29,0.962,0.07,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001100.46+263803.1,,2.752712,26.635489,0.556,0.191,0.978,0.2,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,2.7774,-40.0253,0.881,,1.237,0.194,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ001115.24+234209.3,,2.815349,23.702629,1.345,0.487,0.745,0.103,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001115.77+220316.6,,2.817373,22.055724,0.918,0.105,0.747,0.054,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001121.28+321638.8,J001119.35+321713.8,2.830638,32.287177,0.10714,2e-05,1.081,0.012,Dabhade et al. 2020 / prior,2020-08-05,Oei et al. in prep.
ILTJ001120.04+260505.8,,2.832031,26.08096,0.61482,0.00012,1.011,0.042,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001122.69+223137.5,,2.842365,22.52493,0.913,0.084,1.136,0.057,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001132.45+273730.9,,2.884975,27.624723,0.687,0.116,1.011,0.085,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001152.60+310023.9,J001152.65+310024.3,2.969375,31.006755,0.7572,0.0832,3.306,0.141,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ001202.57+271043.6,,3.012349,27.177129,0.32353,6e-05,0.766,0.029,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001204.48+301844.7,,3.01381,30.311005,0.959,0.117,0.758,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
