field_name,ra,dec,ra_min,ra_max,dec_min,dec_max,ra_size,dec_size
P040+29,40.9736,28.7662,39.279850000000025,42.66734999999997,27.072450000000003,30.45995,3.387499999999946,3.3874999999999944
P018+21,18.9035,21.0491,16.9789166666667,20.828083333333304,19.12451666666667,22.97368333333333,3.8491666666666053,3.8491666666666604
P016+36,16.1452,36.0854,14.256866666666696,18.033533333333303,34.19706666666667,37.97373333333333,3.7766666666666064,3.7766666666666606
P354+33,354.975,33.3913,353.17875000000004,356.77125,31.595050000000004,35.18755,3.592499999999943,3.592499999999994
P030+39,30.7568,38.7204,29.030966666666693,32.482633333333304,36.99456666666667,40.446233333333325,3.4516666666666116,3.451666666666661
P021+26,21.9547,26.0955,20.11220000000003,23.797199999999968,24.253000000000004,27.938,3.6849999999999414,3.684999999999994
P337+23,337.482,23.1997,335.47866666666675,339.4853333333333,21.19636666666667,25.20303333333333,4.006666666666603,4.00666666666666
P011+23,11.3154,23.4935,9.518316666666696,13.112483333333305,21.69641666666667,25.29058333333333,3.5941666666666094,3.594166666666661
P039+31,39.5207,31.2642,37.75445000000003,41.28694999999997,29.497950000000003,33.030449999999995,3.532499999999944,3.5324999999999944
P357+31,357.203,30.9007,355.3055,359.10049999999995,29.003200000000003,32.798199999999994,3.7949999999999395,3.7949999999999937
P010+34,10.4901,33.5265,8.630516666666697,12.349683333333303,31.66691666666667,35.38608333333333,3.7191666666666072,3.7191666666666605
P028+41,28.5722,41.2118,26.83553333333336,30.30886666666664,39.47513333333333,42.94846666666666,3.473333333333278,3.473333333333328
P015+31,15.3191,31.0583,13.558266666666695,17.079933333333305,29.29746666666667,32.819133333333326,3.5216666666666105,3.5216666666666607
P027+31,27.4133,31.1622,25.733300000000025,29.093299999999974,29.482200000000002,32.8422,3.3599999999999466,3.3599999999999945
P002+23,2.85108,23.4198,1.0048300000000294,4.697329999999971,21.57355,25.266049999999996,3.6924999999999413,3.692499999999994
P019+26,19.0725,26.0707,17.24875000000003,20.896249999999974,24.246950000000002,27.894449999999996,3.647499999999942,3.647499999999994
P034+39,34.0756,38.7484,32.37935000000003,35.77184999999997,37.05215,40.444649999999996,3.392499999999946,3.3924999999999943
P027+39,27.4394,38.6922,25.683150000000026,29.195649999999972,36.935950000000005,40.448449999999994,3.5124999999999442,3.5124999999999944
P025+36,25.7603,36.168,23.781133333333365,27.739466666666637,34.188833333333335,38.147166666666664,3.9583333333332704,3.958333333333327
P023+29,23.2676,28.6168,21.548433333333364,24.98676666666664,26.89763333333334,30.335966666666664,3.4383333333332784,3.4383333333333277
P019+34,19.8105,33.607,17.8621666666667,21.758833333333303,31.65866666666667,35.55533333333333,3.8966666666666048,3.8966666666666603
P032+29,32.1174,28.6921,30.456566666666696,33.77823333333331,27.03126666666667,30.35293333333333,3.321666666666614,3.3216666666666614
P013+34,13.5969,33.5535,11.708566666666696,15.485233333333303,31.665166666666668,35.44183333333333,3.7766666666666064,3.7766666666666606
P000+31,0.220021,30.927,-1.6541456666666368,2.094187666666637,29.052833333333336,32.80116666666666,3.7483333333332736,3.7483333333333273
P021+31,21.3645,31.1104,19.64533333333336,23.083666666666637,29.391233333333336,32.829566666666665,3.4383333333332784,3.4383333333333277
P026+29,26.2182,28.642,24.518616666666695,27.917783333333304,26.94241666666667,30.34158333333333,3.3991666666666123,3.399166666666661
P026+19,26.7444,18.6062,24.849400000000028,28.63939999999997,16.711200000000005,20.501199999999997,3.7899999999999396,3.789999999999994
P350+28,350.873,28.3356,348.9009166666667,352.84508333333326,26.36351666666667,30.30768333333333,3.9441666666666038,3.94416666666666
P018+31,18.3414,31.0844,16.601816666666693,20.080983333333307,29.344816666666667,32.82398333333333,3.479166666666611,3.479166666666661
P353+28,353.814,28.3612,351.86733333333336,355.7606666666667,26.41453333333334,30.307866666666662,3.8933333333332714,3.893333333333327
P347+28,347.932,28.31,345.93575000000004,349.92825,26.313750000000002,30.306249999999995,3.992499999999936,3.9924999999999935
P032+21,32.7742,21.1676,30.92420000000003,34.62419999999997,19.317600000000002,23.017599999999998,3.699999999999941,3.699999999999994
P005+23,5.67136,23.4444,3.8417766666666955,7.500943333333304,21.61481666666667,25.273983333333334,3.6591666666666085,3.659166666666661
P334+23,334.666,23.1755,332.64433333333335,336.68766666666664,21.153833333333335,25.197166666666664,4.043333333333269,4.043333333333327
P009+31,9.27695,31.0059,7.472366666666694,11.081533333333304,29.20131666666667,32.81048333333333,3.609166666666609,3.6091666666666606
P010+26,10.4298,25.9959,8.659800000000029,12.199799999999971,24.225900000000003,27.765899999999995,3.5399999999999436,3.5399999999999943
P003+36,3.34085,35.9741,1.5383500000000287,5.1433499999999714,34.171600000000005,37.776599999999995,3.6049999999999427,3.604999999999994
P353+26,353.161,25.8455,351.3114166666667,355.01058333333333,23.99591666666667,27.695083333333333,3.6991666666666077,3.6991666666666605
